filename,field,severity,message,current_value
पंचतंत्र_की_लोकप्रिय_कहानियां.pdf,publisher,info,Publisher not extracted,
महाभारत For Students.pdf,author,warning,Author not extracted,
महाभारत For Students.pdf,publisher,info,Publisher not extracted,
महाभारत_में_वर्णित_ये_35_नगर_आज.pdf,author,warning,Author not extracted,
महाभारत_में_वर्णित_ये_35_नगर_आज.pdf,publisher,info,Publisher not extracted,
रामायण For Students.pdf,author,warning,Author not extracted,
रामायण For Students.pdf,publisher,info,Publisher not extracted,
रामायण_काल_के_अस्तित्व_के_सबूत.pdf,publisher,info,Publisher not extracted,
रामायण_की_प्रत्येक_घटना_बिलकुल_सच.pdf,publisher,info,Publisher not extracted,
विक्रम और बेताल.pdf,publisher,info,Publisher not extracted,
श्री कृष्ण लीला दर्शन.pdf,publisher,info,Publisher not extracted,
श्री_विष्णु_सहस्र_नाम_स्तोत्रम्.pdf,publisher,info,Publisher not extracted,
समुद्र_मंथन_से_निकले_थे_ये_14_रत्न.pdf,author,warning,Author not extracted,
समुद्र_मंथन_से_निकले_थे_ये_14_रत्न.pdf,publisher,info,Publisher not extracted,
सम्पूर्ण चाणक्य नीति.pdf,publisher,info,Publisher not extracted,
स्वामी_विवेकानंद_मन_की_शक्तियां.pdf,publisher,info,Publisher not extracted,
006_Arun_Sanhita_Lal_Kitab_Hare_Krishna_Trashta.pdf,author,warning,Author not extracted,
006_Arun_Sanhita_Lal_Kitab_Hare_Krishna_Trashta.pdf,publisher,info,Publisher not extracted,
ArthurAvalonKularnavaTantraEng.pdf,author,warning,Author not extracted,
ArthurAvalonKularnavaTantraEng.pdf,publisher,info,Publisher not extracted,
Ashtadhyayi_Padanukram_Kosh_016112_std.pdf,author,warning,Author not extracted,
Ashtadhyayi_Padanukram_Kosh_016112_std.pdf,publisher,info,Publisher not extracted,
BhaiBaleWaliJanamSakhi.pdf,author,warning,Author not extracted,
BhaiBaleWaliJanamSakhi.pdf,publisher,info,Publisher not extracted,
BhaiBaleWaliJanamSakhiPunjabi.pdf,author,warning,Author not extracted,
BhaiBaleWaliJanamSakhiPunjabi.pdf,publisher,info,Publisher not extracted,
CHAKRAS-ENERGY-VORTEXES-BOOK-1.pdf,publisher,info,Publisher not extracted,
Caitanya-caritamrita_Adi_Lila (1).pdf,author,warning,Author not extracted,
Caitanya-caritamrita_Adi_Lila (1).pdf,publisher,info,Publisher not extracted,
Caitanya-caritamrita_Antya_Lila.pdf,author,warning,Author not extracted,
Caitanya-caritamrita_Antya_Lila.pdf,publisher,info,Publisher not extracted,
Caitanya-caritamrita_Madhya_Lila.pdf,author,warning,Author not extracted,
Caitanya-caritamrita_Madhya_Lila.pdf,publisher,info,Publisher not extracted,
Chakraca.pdf,author,warning,Author not extracted,
Chakraca.pdf,publisher,info,Publisher not extracted,
"Concepts of Space, Time, and Consciousness in Ancient India.pdf",author,warning,Author not extracted,
"Concepts of Space, Time, and Consciousness in Ancient India.pdf",publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Divya_prerna_prakash.pdf,publisher,info,Publisher not extracted,
"GEET SANSKRIT,GUJ Hindi &amp; ENG.pdf",publisher,info,Publisher not extracted,
"GOPI GEET SANSKRIT,GUJ Hindi &amp; ENG.pdf",publisher,info,Publisher not extracted,
Gayatri Worship.pdf,publisher,info,Publisher not extracted,
Gheranda Samhita.pdf,publisher,info,Publisher not extracted,
Gheranda Samhita_sanskrit_Eng.pdf,author,warning,Author not extracted,
Gheranda Samhita_sanskrit_Eng.pdf,publisher,info,Publisher not extracted,
Gita-Sadhale.pdf,author,warning,Author not extracted,
Gita-Sadhale.pdf,publisher,info,Publisher not extracted,
Harivamsha-Purana-Gitapress.pdf,author,warning,Author not extracted,
Harivamsha-Purana-Gitapress.pdf,publisher,info,Publisher not extracted,
Hindi Book-Devi Bhagvat Puran.pdf,publisher,info,Publisher not extracted,
HindiBook-shiva-samhita.pdf,publisher,info,Publisher not extracted,
Introduction-to-Vedanta-by-Swami-Dayananda.pdf,publisher,info,Publisher not extracted,
Karmvipak samhita.pdf,author,warning,Author not extracted,
Karmvipak samhita.pdf,publisher,info,Publisher not extracted,
Kundalini-the-evolutionary-energy-in-man-by-Gopi-Krishna.pdf,publisher,info,Publisher not extracted,
Laghu-yoga-vasishta-English.pdf,author,warning,Author not extracted,
Laghu-yoga-vasishta-English.pdf,publisher,info,Publisher not extracted,
Manglacharana.pdf,publisher,info,Publisher not extracted,
Mantreswara_s__Phaladeeplka.pdf,publisher,info,Publisher not extracted,
Narad_Bhakti_Shandilya_1p65.pdf,publisher,info,Publisher not extracted,
Nataraaja Ashtotharam01.pdf,publisher,info,Publisher not extracted,
Nitnem in Devanagari_hindi_english.pdf,publisher,info,Publisher not extracted,
Om_chant_Effect_on_Nervous_system.pdf,publisher,info,Publisher not extracted,
Power of Mantra.pdf,author,warning,Author not extracted,
Power of Mantra.pdf,publisher,info,Publisher not extracted,
Prasad.pdf,publisher,info,Publisher not extracted,
Raghav anulom vilom.pdf,publisher,info,Publisher not extracted,
Raghav-yadviyam.pdf,publisher,info,Publisher not extracted,
RekhaganitaVOL_II_DLI.pdf,author,warning,Author not extracted,
RekhaganitaVOL_II_DLI.pdf,publisher,info,Publisher not extracted,
RylbMXI2Ts6mwdUmAVTV_सिकंदर.pdf,publisher,info,Publisher not extracted,
Sandhyaa Rahasya  Pt chamupati.pdf,publisher,info,Publisher not extracted,
Satyarthaprakasa.pdf,author,warning,Author not extracted,
Satyarthaprakasa.pdf,publisher,info,Publisher not extracted,
Science_and_Astronomy_IJTK 13(4) 716-724.pdf,publisher,info,Publisher not extracted,
ShivaSahinta_WithHindiTika.pdf,author,warning,Author not extracted,
ShivaSahinta_WithHindiTika.pdf,publisher,info,Publisher not extracted,
Shiva_Sahinta_WithHindiTika.pdf,author,warning,Author not extracted,
Shiva_Sahinta_WithHindiTika.pdf,publisher,info,Publisher not extracted,
Solar_Eclipse_Om.pdf,publisher,info,Publisher not extracted,
Spectral_Analysis_Om.pdf,publisher,info,Publisher not extracted,
Sri Vishnu sahasranaam satrotam.pdf,publisher,info,Publisher not extracted,
Sri_Vishnu_sahasranaam_satrotam_sanskrit.pdf,publisher,info,Publisher not extracted,
Thompson_Richard_L._(aka_Sadaputa_dasa)_-_Vedic_Cosmography_and_Astronomy.pdf,publisher,info,Publisher not extracted,
Time_Frequency_Analysis_Om.pdf,publisher,info,Publisher not extracted,
Tukaramgatha_hindi.pdf,author,warning,Author not extracted,
Tukaramgatha_hindi.pdf,publisher,info,Publisher not extracted,
Vastu-for-House-eBook.pdf,publisher,info,Publisher not extracted,
Vrddhayavanjataka of Minaraja 1.pdf,author,warning,Author not extracted,
Vrddhayavanjataka of Minaraja 1.pdf,publisher,info,Publisher not extracted,
Vrddhayavanjataka of Minaraja 2 (2).pdf,author,warning,Author not extracted,
Vrddhayavanjataka of Minaraja 2 (2).pdf,publisher,info,Publisher not extracted,
Yoga-rasayanam-sanskrit-hindi.pdf,publisher,info,Publisher not extracted,
Yogi Kathamrita.pdf,author,warning,Author not extracted,
Yogi Kathamrita.pdf,publisher,info,Publisher not extracted,
anandramayan.pdf,publisher,info,Publisher not extracted,
aryabhata_with_english_commentary.pdf,publisher,info,Publisher not extracted,
bhavanbhaskar-vastu-shastra (1).pdf,author,warning,Author not extracted,
